eval_results_tag,avg_loss,loss1,loss2
lr_1e-6-epochs_1-fold_0,tensor(0.8076),tensor(0.8101),tensor(0.8050)
lr_1e-6-epochs_1-fold_0,tensor(0.8076),tensor(0.8101),tensor(0.8050)
lr_1e-6-epochs_1-fold_3,tensor(0.7731),tensor(0.7763),tensor(0.7698)
lr_2e-6-epochs_1-fold_3,tensor(0.7300),tensor(0.7311),tensor(0.7289)
lr_1e-6-epochs_1-fold_4,tensor(0.8287),tensor(0.8301),tensor(0.8274)
lr_2e-6-epochs_1-fold_2,tensor(0.7432),tensor(0.7461),tensor(0.7404)
lr_1e-6-epochs_1-fold_2,tensor(0.7982),tensor(0.8000),tensor(0.7963)
lr_1e-6-epochs_2-fold_0,tensor(0.7975),tensor(0.7974),tensor(0.7977)
lr_1e-6-epochs_2-fold_0,tensor(0.7975),tensor(0.7974),tensor(0.7977)
lr_2e-6-epochs_1-fold_4,tensor(0.7620),tensor(0.7625),tensor(0.7614)
lr_1e-6-epochs_1-fold_4,tensor(0.8287),tensor(0.8301),tensor(0.8274)
lr_5e-6-epochs_1-fold_0,tensor(0.7664),tensor(0.7654),tensor(0.7675)
lr_2e-6-epochs_1-fold_0,tensor(0.7922),tensor(0.8437),tensor(0.7406)
lr_2e-6-epochs_2-fold_3,tensor(0.7083),tensor(0.7076),tensor(0.7090)
lr_1e-6-epochs_2-fold_3,tensor(0.7432),tensor(0.7465),tensor(0.7400)
lr_2e-6-epochs_2-fold_2,tensor(0.7271),tensor(0.7311),tensor(0.7231)
lr_1e-6-epochs_2-fold_2,tensor(0.7798),tensor(0.7833),tensor(0.7762)
lr_5e-6-epochs_1-fold_3,tensor(0.7299),tensor(0.7260),tensor(0.7337)
lr_5e-6-epochs_1-fold_4,tensor(0.8284),tensor(0.8245),tensor(0.8323)
lr_5e-6-epochs_1-fold_2,tensor(0.7708),tensor(0.7710),tensor(0.7705)
lr_1e-6-epochs_3-fold_0,tensor(0.7586),tensor(0.7601),tensor(0.7571)
lr_1e-6-epochs_3-fold_0,tensor(0.7586),tensor(0.7601),tensor(0.7571)
lr_2e-6-epochs_2-fold_4,tensor(0.7272),tensor(0.7269),tensor(0.7275)
lr_1e-6-epochs_2-fold_4,tensor(0.7908),tensor(0.7904),tensor(0.7913)
lr_5e-6-epochs_1-fold_4,tensor(0.8284),tensor(0.8245),tensor(0.8323)
lr_2e-6-epochs_3-fold_3,tensor(0.7008),tensor(0.7018),tensor(0.6999)
lr_1e-6-epochs_3-fold_3,tensor(0.8423),tensor(0.9428),tensor(0.7417)
lr_1e-6-epochs_3-fold_2,tensor(0.7483),tensor(0.7525),tensor(0.7441)
lr_2e-6-epochs_3-fold_2,tensor(0.7170),tensor(0.7198),tensor(0.7142)
lr_5e-6-epochs_2-fold_3,tensor(0.6998),tensor(0.7006),tensor(0.6989)
lr_1e-5-epochs_1-fold_3,tensor(0.8138),tensor(0.8139),tensor(0.8137)
lr_2e-6-epochs_3-fold_4,tensor(0.7283),tensor(0.7275),tensor(0.7291)
lr_1e-5-epochs_1-fold_2,tensor(5.3473),tensor(5.2101),tensor(5.4846)
lr_1e-6-epochs_3-fold_4,tensor(0.7630),tensor(0.7629),tensor(0.7631)
lr_2e-6-epochs_2-fold_0,tensor(0.7160),tensor(0.7192),tensor(0.7128)
lr_5e-6-epochs_2-fold_4,tensor(0.7703),tensor(0.7680),tensor(0.7726)
lr_5e-6-epochs_2-fold_0,tensor(0.7775),tensor(0.7758),tensor(0.7793)
lr_1e-5-epochs_1-fold_0,tensor(0.8663),tensor(0.8668),tensor(0.8658)
lr_1e-5-epochs_1-fold_4,tensor(0.8452),tensor(0.8407),tensor(0.8498)
lr_1e-6-epochs_5-fold_0,tensor(0.7301),tensor(0.7311),tensor(0.7292)
lr_5e-6-epochs_2-fold_4,tensor(0.7727),tensor(0.7709),tensor(0.7745)
lr_1e-6-epochs_5-fold_0,tensor(0.7301),tensor(0.7311),tensor(0.7292)
lr_2e-5-epochs_1-fold_3,tensor(0.8408),tensor(0.8340),tensor(0.8477)
lr_5e-6-epochs_2-fold_2,tensor(0.8084),tensor(0.8039),tensor(0.8128)
lr_1e-6-epochs_5-fold_3,tensor(0.7158),tensor(0.7181),tensor(0.7134)
lr_2e-6-epochs_5-fold_3,tensor(0.7134),tensor(0.7142),tensor(0.7127)
lr_5e-6-epochs_3-fold_0,tensor(0.8153),tensor(0.8171),tensor(0.8135)
lr_1e-5-epochs_2-fold_3,tensor(0.8210),tensor(0.8204),tensor(0.8216)
lr_5e-6-epochs_3-fold_3,tensor(0.7185),tensor(0.7175),tensor(0.7194)
lr_1e-6-epochs_5-fold_2,tensor(0.7260),tensor(0.7295),tensor(0.7224)
lr_2e-5-epochs_1-fold_4,tensor(1.1400),tensor(1.1368),tensor(1.1432)
lr_5e-6-epochs_3-fold_2,tensor(0.8386),tensor(0.8369),tensor(0.8402)
lr_1e-5-epochs_2-fold_2,tensor(0.8396),tensor(0.8373),tensor(0.8418)
lr_2e-6-epochs_5-fold_4,tensor(0.7286),tensor(0.7292),tensor(0.7281)
lr_1e-6-epochs_5-fold_4,tensor(0.7405),tensor(0.7412),tensor(0.7398)
lr_2e-5-epochs_1-fold_0,tensor(0.9996),tensor(0.9979),tensor(1.0014)
lr_1e-5-epochs_2-fold_4,tensor(0.8539),tensor(0.8523),tensor(0.8555)
lr_5e-6-epochs_3-fold_4,tensor(0.7721),tensor(0.7678),tensor(0.7765)
lr_2e-5-epochs_1-fold_2,tensor(0.8856),tensor(0.8830),tensor(0.8883)
lr_1e-5-epochs_2-fold_0,tensor(0.9072),tensor(0.9039),tensor(0.9105)
lr_1e-5-epochs_3-fold_3,tensor(0.7444),tensor(0.7422),tensor(0.7465)
lr_3e-5-epochs_1-fold_3,tensor(0.8246),tensor(0.8245),tensor(0.8247)
lr_1e-5-epochs_3-fold_2,tensor(0.7901),tensor(0.7842),tensor(0.7960)
lr_2e-6-epochs_5-fold_2,tensor(0.7094),tensor(0.7126),tensor(0.7061)
lr_2e-6-epochs_2-fold_4,tensor(0.7268),tensor(0.7268),tensor(0.7269)
lr_2e-5-epochs_2-fold_3,tensor(0.8856),tensor(0.8843),tensor(0.8869)
lr_1e-5-epochs_3-fold_4,tensor(0.9169),tensor(0.9154),tensor(0.9185)
lr_3e-5-epochs_1-fold_4,tensor(0.8257),tensor(0.8252),tensor(0.8262)
lr_5e-6-epochs_5-fold_3,tensor(0.7255),tensor(0.7242),tensor(0.7268)
lr_5e-6-epochs_5-fold_0,tensor(0.8283),tensor(0.8280),tensor(0.8285)
lr_1e-5-epochs_3-fold_0,tensor(0.8752),tensor(0.8701),tensor(0.8803)
lr_3e-5-epochs_1-fold_2,tensor(0.8815),tensor(0.8819),tensor(0.8810)
lr_3e-5-epochs_2-fold_3,tensor(0.8223),tensor(0.8235),tensor(0.8210)
lr_2e-5-epochs_2-fold_0,tensor(0.9490),tensor(0.9470),tensor(0.9510)
lr_5e-6-epochs_5-fold_2,tensor(0.8475),tensor(0.8459),tensor(0.8492)
lr_2e-5-epochs_2-fold_4,tensor(0.9326),tensor(0.9289),tensor(0.9363)
lr_2e-5-epochs_2-fold_2,tensor(0.9262),tensor(0.9296),tensor(0.9228)
lr_2e-6-epochs_5-fold_0,tensor(0.7200),tensor(0.7189),tensor(0.7210)
lr_2e-6-epochs_3-fold_0,tensor(0.7102),tensor(0.7121),tensor(0.7083)
lr_5e-6-epochs_5-fold_4,tensor(0.7926),tensor(0.7911),tensor(0.7941)
lr_5e-5-epochs_1-fold_3,tensor(0.6977),tensor(0.6985),tensor(0.6968)
lr_3e-5-epochs_2-fold_4,tensor(1.1199),tensor(1.1181),tensor(1.1218)
lr_2e-5-epochs_3-fold_3,tensor(0.8588),tensor(0.8576),tensor(0.8600)
lr_3e-5-epochs_1-fold_0,tensor(0.9763),tensor(0.9745),tensor(0.9781)
lr_1e-5-epochs_5-fold_3,tensor(0.7549),tensor(0.7546),tensor(0.7551)
lr_3e-5-epochs_2-fold_2,tensor(0.8771),tensor(0.8775),tensor(0.8768)
lr_5e-5-epochs_1-fold_4,tensor(0.9002),tensor(0.9001),tensor(0.9003)
lr_5e-5-epochs_1-fold_2,tensor(0.9134),tensor(0.9145),tensor(0.9123)
lr_1e-5-epochs_5-fold_2,tensor(0.8581),tensor(0.8588),tensor(0.8573)
lr_1e-5-epochs_5-fold_4,tensor(0.8751),tensor(0.8761),tensor(0.8742)
lr_5e-5-epochs_1-fold_0,tensor(0.8455),tensor(0.8455),tensor(0.8455)
lr_1e-5-epochs_5-fold_0,tensor(0.8515),tensor(0.8503),tensor(0.8527)
lr_5e-5-epochs_2-fold_3,tensor(0.8457),tensor(0.8460),tensor(0.8455)
lr_3e-5-epochs_3-fold_3,tensor(0.9203),tensor(0.9176),tensor(0.9229)
lr_3e-5-epochs_2-fold_0,tensor(0.9400),tensor(0.9469),tensor(0.9332)
lr_5e-5-epochs_2-fold_2,tensor(1.4696),tensor(1.4697),tensor(1.4695)
lr_3e-5-epochs_3-fold_2,tensor(0.9485),tensor(0.9498),tensor(0.9471)
lr_5e-6-epochs_3-fold_4,tensor(0.7748),tensor(0.7697),tensor(0.7798)
lr_5e-5-epochs_2-fold_4,tensor(1.2655),tensor(1.3120),tensor(1.2190)
lr_3e-5-epochs_3-fold_4,tensor(0.9609),tensor(0.9565),tensor(0.9652)
lr_2e-5-epochs_5-fold_3,tensor(0.8727),tensor(0.8686),tensor(0.8768)
lr_5e-5-epochs_3-fold_3,tensor(0.8566),tensor(0.8569),tensor(0.8564)
lr_3e-5-epochs_3-fold_0,tensor(0.9225),tensor(0.9217),tensor(0.9232)
lr_5e-5-epochs_2-fold_0,tensor(0.8965),tensor(0.8970),tensor(0.8960)
lr_5e-5-epochs_3-fold_4,tensor(0.9379),tensor(0.9349),tensor(0.9409)
lr_2e-5-epochs_5-fold_0,tensor(0.9077),tensor(0.9092),tensor(0.9062)
lr_3e-5-epochs_5-fold_3,tensor(0.9290),tensor(0.9328),tensor(0.9251)
lr_5e-5-epochs_3-fold_2,tensor(0.9442),tensor(0.9464),tensor(0.9420)
lr_3e-5-epochs_5-fold_4,tensor(0.9344),tensor(0.9287),tensor(0.9401)
lr_5e-5-epochs_3-fold_0,tensor(0.9353),tensor(0.9345),tensor(0.9361)
lr_3e-5-epochs_5-fold_2,tensor(0.9188),tensor(0.9152),tensor(0.9223)
lr_3e-5-epochs_5-fold_0,tensor(0.9600),tensor(0.9573),tensor(0.9627)
lr_1e-6-epochs_3-fold_4,tensor(0.7630),tensor(0.7614),tensor(0.7647)
lr_5e-5-epochs_5-fold_3,tensor(0.8429),tensor(0.8416),tensor(0.8442)
lr_5e-5-epochs_5-fold_4,tensor(0.9665),tensor(0.9700),tensor(0.9630)
lr_5e-5-epochs_5-fold_2,tensor(0.9367),tensor(0.8878),tensor(0.9856)
lr_5e-5-epochs_5-fold_0,tensor(0.8887),tensor(0.8879),tensor(0.8895)
lr_2e-05-epochs_1-fold_0,tensor(0.9996),tensor(0.9979),tensor(1.0014)
lr_2e-05-epochs_1-fold_2,tensor(0.8856),tensor(0.8830),tensor(0.8883)
lr_2e-05-epochs_2-fold_0,tensor(0.9490),tensor(0.9470),tensor(0.9510)
lr_2e-05-epochs_2-fold_2,tensor(0.9262),tensor(0.9296),tensor(0.9228)
lr_2e-05-epochs_1-fold_4,tensor(1.1400),tensor(1.1368),tensor(1.1432)
lr_1e-6-epochs_1-fold_2,tensor(0.7982),tensor(0.8000),tensor(0.7963)
lr_2e-6-epochs_1-fold_2,tensor(0.7432),tensor(0.7461),tensor(0.7404)
lr_5e-6-epochs_1-fold_2,tensor(0.7708),tensor(0.7710),tensor(0.7705)
lr_1e-6-epochs_2-fold_2,tensor(0.7798),tensor(0.7833),tensor(0.7762)
lr_2e-05-epochs_3-fold_2,tensor(0.9132),tensor(0.9171),tensor(0.9092)
lr_2e-05-epochs_3-fold_0,tensor(0.9570),tensor(0.9549),tensor(0.9592)
lr_2e-6-epochs_2-fold_2,tensor(0.7271),tensor(0.7311),tensor(0.7231)
lr_2e-05-epochs_2-fold_4,tensor(0.9397),tensor(0.9325),tensor(0.9469)
lr_1e-5-epochs_1-fold_2,tensor(5.3473),tensor(5.2101),tensor(5.4846)
lr_1e-6-epochs_3-fold_2,tensor(0.7483),tensor(0.7525),tensor(0.7441)
lr_5e-6-epochs_2-fold_2,tensor(0.8084),tensor(0.8039),tensor(0.8128)
lr_1e-5-epochs_2-fold_2,tensor(0.8396),tensor(0.8373),tensor(0.8418)
lr_2e-5-epochs_1-fold_2,tensor(0.8856),tensor(0.8830),tensor(0.8883)
lr_3e-5-epochs_1-fold_2,tensor(0.8815),tensor(0.8819),tensor(0.8810)
lr_2e-05-epochs_5-fold_2,tensor(0.8955),tensor(0.8974),tensor(0.8937)
lr_2e-05-epochs_5-fold_0,tensor(0.9077),tensor(0.9092),tensor(0.9062)
lr_2e-6-epochs_3-fold_2,tensor(0.7170),tensor(0.7198),tensor(0.7142)
lr_2e-05-epochs_3-fold_4,tensor(0.9195),tensor(0.9174),tensor(0.9216)
lr_5e-6-epochs_3-fold_2,tensor(0.8386),tensor(0.8369),tensor(0.8402)
lr_2e-5-epochs_2-fold_2,tensor(0.9262),tensor(0.9296),tensor(0.9228)
lr_1e-5-epochs_3-fold_2,tensor(0.7901),tensor(0.7842),tensor(0.7960)
lr_5e-5-epochs_1-fold_2,tensor(0.9134),tensor(0.9145),tensor(0.9123)
lr_3e-5-epochs_2-fold_2,tensor(0.8771),tensor(0.8775),tensor(0.8768)
lr_2e-5-epochs_3-fold_2,tensor(0.9132),tensor(0.9171),tensor(0.9092)
lr_5e-5-epochs_2-fold_2,tensor(1.4696),tensor(1.4697),tensor(1.4695)
lr_1e-6-epochs_5-fold_2,tensor(0.7260),tensor(0.7295),tensor(0.7224)
lr_2e-6-epochs_5-fold_2,tensor(0.7094),tensor(0.7126),tensor(0.7061)
lr_1e-6-epochs_1-fold_3,tensor(0.7731),tensor(0.7763),tensor(0.7698)
lr_2e-05-epochs_5-fold_4,tensor(0.9627),tensor(0.9586),tensor(0.9668)
lr_3e-5-epochs_3-fold_2,tensor(0.9485),tensor(0.9498),tensor(0.9471)
lr_1e-6-epochs_2-fold_3,tensor(0.7432),tensor(0.7465),tensor(0.7400)
lr_5e-6-epochs_5-fold_2,tensor(0.8475),tensor(0.8459),tensor(0.8492)
lr_1e-5-epochs_5-fold_2,tensor(0.8581),tensor(0.8588),tensor(0.8573)
lr_2e-6-epochs_1-fold_3,tensor(0.7300),tensor(0.7311),tensor(0.7289)
lr_2e-6-epochs_2-fold_3,tensor(0.7083),tensor(0.7076),tensor(0.7090)
lr_2e-5-epochs_5-fold_2,tensor(0.8955),tensor(0.8974),tensor(0.8937)
lr_5e-5-epochs_3-fold_2,tensor(0.9442),tensor(0.9464),tensor(0.9420)
lr_5e-6-epochs_2-fold_3,tensor(0.6998),tensor(0.7006),tensor(0.6989)
lr_1e-6-epochs_3-fold_3,tensor(0.8423),tensor(0.9428),tensor(0.7417)
lr_5e-6-epochs_1-fold_3,tensor(0.7299),tensor(0.7260),tensor(0.7337)
lr_1e-5-epochs_1-fold_3,tensor(0.8138),tensor(0.8139),tensor(0.8137)
lr_3e-5-epochs_5-fold_2,tensor(0.9188),tensor(0.9152),tensor(0.9223)
lr_2e-6-epochs_3-fold_3,tensor(0.7008),tensor(0.7018),tensor(0.6999)
lr_1e-5-epochs_2-fold_3,tensor(0.8210),tensor(0.8204),tensor(0.8216)
lr_5e-6-epochs_3-fold_3,tensor(0.7185),tensor(0.7175),tensor(0.7194)
lr_2e-5-epochs_1-fold_3,tensor(0.8408),tensor(0.8340),tensor(0.8477)
lr_5e-5-epochs_5-fold_2,tensor(0.9367),tensor(0.8878),tensor(0.9856)
lr_2e-5-epochs_2-fold_3,tensor(0.8856),tensor(0.8843),tensor(0.8869)
lr_3e-5-epochs_1-fold_3,tensor(0.8246),tensor(0.8245),tensor(0.8247)
lr_3e-5-epochs_2-fold_3,tensor(0.8223),tensor(0.8235),tensor(0.8210)
lr_1e-5-epochs_3-fold_3,tensor(0.7444),tensor(0.7422),tensor(0.7465)
lr_5e-5-epochs_1-fold_3,tensor(0.6977),tensor(0.6985),tensor(0.6968)
lr_2e-5-epochs_3-fold_3,tensor(0.8588),tensor(0.8576),tensor(0.8600)
lr_5e-5-epochs_2-fold_3,tensor(0.8457),tensor(0.8460),tensor(0.8455)
lr_1e-6-epochs_5-fold_3,tensor(0.7130),tensor(0.7157),tensor(0.7102)
lr_3e-5-epochs_3-fold_3,tensor(0.9203),tensor(0.9176),tensor(0.9229)
lr_1e-6-epochs_2-fold_4,tensor(0.7924),tensor(0.7922),tensor(0.7926)
lr_2e-6-epochs_5-fold_3,tensor(0.7130),tensor(0.7137),tensor(0.7123)
lr_1e-6-epochs_1-fold_4,tensor(0.8287),tensor(0.8301),tensor(0.8274)
lr_5e-5-epochs_3-fold_3,tensor(0.8566),tensor(0.8569),tensor(0.8564)
lr_5e-6-epochs_5-fold_3,tensor(0.7258),tensor(0.7254),tensor(0.7263)
lr_2e-6-epochs_2-fold_4,tensor(0.7278),tensor(0.7273),tensor(0.7284)
lr_1e-5-epochs_5-fold_3,tensor(0.7525),tensor(0.7525),tensor(0.7525)
lr_1e-6-epochs_3-fold_4,tensor(0.7627),tensor(0.7632),tensor(0.7622)
lr_2e-6-epochs_1-fold_4,tensor(0.7620),tensor(0.7625),tensor(0.7614)
lr_5e-6-epochs_2-fold_4,tensor(0.7706),tensor(0.7700),tensor(0.7712)
lr_1e-5-epochs_2-fold_4,tensor(0.8477),tensor(0.8463),tensor(0.8490)
lr_2e-6-epochs_3-fold_4,tensor(0.7224),tensor(0.7220),tensor(0.7227)
lr_5e-6-epochs_1-fold_4,tensor(0.8284),tensor(0.8245),tensor(0.8323)
lr_2e-5-epochs_5-fold_3,tensor(0.8734),tensor(0.8699),tensor(0.8769)
lr_5e-6-epochs_3-fold_4,tensor(0.7747),tensor(0.7726),tensor(0.7767)
lr_1e-5-epochs_1-fold_4,tensor(0.8452),tensor(0.8407),tensor(0.8498)
lr_2e-5-epochs_2-fold_4,tensor(0.9362),tensor(0.9308),tensor(0.9415)
lr_1e-5-epochs_3-fold_4,tensor(0.9168),tensor(0.9169),tensor(0.9168)
lr_3e-5-epochs_5-fold_3,tensor(0.9281),tensor(0.9322),tensor(0.9240)
lr_2e-5-epochs_1-fold_4,tensor(1.1400),tensor(1.1368),tensor(1.1432)
lr_5e-5-epochs_5-fold_3,tensor(0.8430),tensor(0.8413),tensor(0.8446)
lr_3e-5-epochs_2-fold_4,tensor(1.1306),tensor(1.1333),tensor(1.1279)
lr_5e-5-epochs_2-fold_4,tensor(1.2655),tensor(1.3120),tensor(1.2190)
lr_2e-5-epochs_3-fold_4,tensor(0.9163),tensor(0.9120),tensor(0.9206)
lr_3e-5-epochs_1-fold_4,tensor(0.8257),tensor(0.8252),tensor(0.8262)
lr_1e-6-epochs_5-fold_4,tensor(0.7447),tensor(0.7456),tensor(0.7438)
lr_5e-5-epochs_1-fold_4,tensor(0.9002),tensor(0.9001),tensor(0.9003)
lr_3e-5-epochs_3-fold_4,tensor(0.9635),tensor(0.9609),tensor(0.9661)
lr_5e-5-epochs_3-fold_4,tensor(0.9345),tensor(0.9312),tensor(0.9378)
lr_2e-6-epochs_5-fold_4,tensor(0.7230),tensor(0.7233),tensor(0.7226)
lr_5e-6-epochs_5-fold_4,tensor(0.8007),tensor(0.7999),tensor(0.8016)
lr_1e-5-epochs_5-fold_4,tensor(0.8712),tensor(0.8732),tensor(0.8693)
lr_2e-5-epochs_5-fold_4,tensor(0.9558),tensor(0.9521),tensor(0.9594)
lr_3e-5-epochs_5-fold_4,tensor(0.9214),tensor(0.9190),tensor(0.9237)
lr_5e-5-epochs_5-fold_4,tensor(0.9436),tensor(0.9466),tensor(0.9405)
